component,priority,severity,isDependent,numberOfDepends,doesBlock,numberOfBlocked,reporterIsAssignee,hasCC,numberOfCC,hasAttachment,numberOfAttachment,titleReadability,descReadability,positiveCount,negativeCount,neutralCount,classlabel
UI,P3,normal,TRUE,5,FALSE,0,FALSE,TRUE,2,FALSE,0,17.390579,8.368273,0,1,0,1
UI,P3,normal,FALSE,0,TRUE,1,FALSE,TRUE,3,TRUE,1,12.263107,22.497019,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,12.821149,11.499286,0,1,0,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,FALSE,0,10.810773,10.183122,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,3,TRUE,1,11.53894,6.93333,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,FALSE,0,12.079149,12.863555,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,4,TRUE,1,18.382727,13.690033,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,14.169054,27.794263,0,0,1,1
UI,P3,normal,TRUE,1,FALSE,0,FALSE,TRUE,3,TRUE,2,9.454773,20.381629,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,19.48444,79.30632,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,TRUE,3,9.072273,21.690091,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,11.342273,14.782926,1,0,0,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,FALSE,0,TRUE,1,27.891173,162.932889,0,1,0,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,5,TRUE,3,4.36442,14.357345,0,1,0,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,3,FALSE,0,5.41882,113.020341,0,1,0,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,4.983534,12.352702,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,15.892801,14.997564,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,FALSE,0,38.882083,65.790725,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,TRUE,2,14.907316,11.886719,0,1,0,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,3.672987,13.594437,1,0,0,1
UI,P3,normal,TRUE,1,FALSE,0,FALSE,TRUE,2,FALSE,0,17.656301,10.398297,0,1,0,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,TRUE,1,10.630173,14.627511,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,3,FALSE,0,9.374631,10.529837,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,2.51282,15.346755,0,2,0,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,14.58334,13.43766,0,1,0,1
UI,P3,normal,TRUE,1,FALSE,0,FALSE,TRUE,3,FALSE,0,5.319585,5.850117,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,FALSE,0,11.113523,10.50794,0,1,0,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,FALSE,0,15.192083,107.613589,0,0,2,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,TRUE,1,11.71544,12.141872,0,1,1,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,FALSE,0,19.499727,19.1685,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,4,TRUE,2,9.157573,109.590545,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,TRUE,3,16.160483,12.620057,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,FALSE,0,11.30194,9.628159,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,32.573911,76.396668,0,1,0,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,4,TRUE,1,15.440107,14.551503,0,1,0,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,16.111733,13.964168,0,1,0,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,TRUE,1,16.102483,20.835783,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,3,TRUE,1,6.92082,9.157389,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,TRUE,TRUE,2,FALSE,0,18.504268,109.312392,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,FALSE,0,13.221768,17.651409,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,4,FALSE,0,9.559319,51.198639,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,FALSE,0,9.344773,10.308425,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,TRUE,FALSE,0,FALSE,0,15.996218,28.59734,0,1,0,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,3,FALSE,0,4.60042,11.107916,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,16.671483,12.766589,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,17.322377,23.525894,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,3,TRUE,1,19.89306,21.821505,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,FALSE,0,16.039283,154.751773,0,1,0,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,15.06679,17.343138,0,1,0,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,17.030483,14.207359,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,4.35982,11.829843,0,1,0,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,TRUE,1,17.281868,12.023413,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,2,TRUE,1,15.952559,16.257814,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,12.625755,23.785285,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,FALSE,0,2.518487,11.302062,0,0,1,1
UI,P3,normal,FALSE,0,FALSE,0,FALSE,TRUE,1,TRUE,1,0.38532,10.079114,0,1,0,1
